date,code,open,high,low,close,volume,amount,turn,pctChg
2020-01-02,sh.600519,977.3127360000,992.0937247200,966.9157920000,979.0455600000,14809916,16696837095.0000,1.178900,-4.480100
2020-01-03,sh.600519,967.7822040000,967.7822040000,933.0390828000,934.4773267200,13031878,14266380596.0000,1.037400,-4.552200
2020-01-06,sh.600519,927.8059543200,946.9016748000,924.7215276000,933.9834718800,6341478,6853917601.0000,0.504800,-0.052900
2020-01-07,sh.600519,933.5589300000,952.1867880000,932.6058768000,948.3139263600,4785359,5220697068.0000,0.380900,1.534300
2020-01-08,sh.600519,940.1003406000,949.1543460000,937.9603029600,942.7775536800,2500825,2720371915.0000,0.199100,-0.583800
2020-01-09,sh.600519,947.8547280000,957.7231606800,944.3890800000,955.3925124000,3740587,4110949814.0000,0.297800,1.338100
2020-01-10,sh.600519,960.8509080000,966.9071278800,955.2192300000,963.8833500000,3597587,3993457118.0000,0.286400,0.888700
2020-01-13,sh.600519,963.8833500000,978.3524304000,963.4501440000,974.0810192400,3851575,4325687959.0000,0.306600,1.058000
2020-01-14,sh.600519,974.0203704000,974.6181946800,955.6524360000,959.4646488000,3514465,3916300790.0000,0.279800,-1.500500
2020-01-15,sh.600519,960.8595721200,971.7676992000,957.3852600000,963.5627775600,2602911,2895603674.0000,0.207200,0.427100
2020-01-16,sh.600519,969.4023944400,969.4023944400,955.2885429600,959.1180840000,2319165,2571593141.0000,0.184600,-0.461300
2020-01-17,sh.600519,961.7173200000,964.1259453600,953.9282761200,959.5512900000,2347275,2599645144.0000,0.186900,0.045200
2020-01-20,sh.600519,963.3288463200,963.3288463200,937.4577840000,945.2554920000,3539130,3858246844.0000,0.281700,-1.489800
2020-01-21,sh.600519,936.5913720000,941.7898440000,929.0535876000,931.6528236000,3287405,3542441308.0000,0.261700,-1.439000
2020-01-22,sh.600519,927.0608400000,939.1906080000,914.3938965600,931.8347701200,3620004,3875275065.0000,0.288200,0.019500
2020-01-23,sh.600519,932.2593120000,932.2593120000,898.4692440000,912.1585536000,5346843,5638945742.0000,0.425600,-2.111600
2020-02-03,sh.600519,853.4158200000,875.6652801600,849.0837600000,869.8083350400,12344288,12314991759.0000,0.982700,-4.642900
2020-02-04,sh.600519,879.4081800000,915.7974840000,875.9511961200,899.3443201200,6262418,6490469043.0000,0.498500,3.395700
2020-02-05,sh.600519,909.7326000000,913.1982480000,895.0295883600,909.7239358800,4741824,4956355235.0000,0.377500,1.154100
2020-02-06,sh.600519,917.9028651600,931.3929000000,911.4827522400,927.9272520000,4717121,5011246407.0000,0.375500,2.001000
2020-02-07,sh.600519,927.0695041200,933.1257240000,919.2804602400,932.2593120000,3127871,3348894576.0000,0.249000,0.466900
2020-02-10,sh.600519,920.1295440000,931.0463352000,915.9707664000,924.0197338800,3053342,3251908506.0000,0.243100,-0.883800
